Serial number,Submit the answer time,Time taken,source,Source details,From IP,Total points,1. What is your software company name? (Optional),2. How big is your organization?,3. What type of software development does your company focus on? (Multiple choice),4. How long has your company been operating?,5. What types of risks does your software company usually face? (Multiple choice),6. How often will your company encounter unexpected risks?,7. Which risk has had the most significant impact on your business over the past year?,8. How often will your company face project delays due to poor planning or changes in demand?,9. What is the main reason for your project cost overrun? (Multiple choice),10. What strategies does your organization use to control project costs and durations? (Multiple choice),11. How does your team usually respond when the project exceeds the budget or schedule?,12. Do you think using AI tools can help your company better manage cost and time risks?,13. Which of the following functions do you want AI tools to have to manage cost/time risks? (Multiple choice),"14. With 1 to 5 as the level, how severe is the following risks affecting your organization? —Financial risk",14. Operational Risk,14. Strategic Risk,14. Technical risks,14. Compliance risk,"15. With 1 to 5 as the level, how serious is financial risks (such as budget overspending, funding issues) affecting your organization?","16. How severe is the impact of operational risks (such as inefficient process, poor management) on your organization on the level of 1 to 5?","17. With 1 to 5 as the level, how severe is strategic risks (such as market competition, project failure) affecting your organization?",18. How severe is compliance risks (such as legal and regulatory issues) affecting your organization on the scale of 1 to 5?,19. What are the three major risks that your company prioritizes mitigation? (Select up to 3 options),20. How does your organization evaluate and classify risks?,21. What risk management strategies does your company currently adopt? (Multiple choice),22. How effective do you think your current risk management strategy is?,23. What is the biggest challenge your organization faces in managing risks?,24. Do you understand risk management solutions based on artificial intelligence?,25. Are you willing to use artificial intelligence-based tools for risk assessment and mitigation?,26. Which functions do you think are the most useful in a risk management system based on artificial intelligence? (Multiple choice),27. Are you willing to participate in the AI-driven risk management pilot project?
11,2025/6/4 14:39:57,829 seconds,Link,Direct access,121.31.11.35 (Guangxi-Nanning),15,"Guangxi Wanjida Technology Co., Ltd.",Small (1-50 employees),Mobile Application Development?Artificial Intelligence/Machine Learning Solution?Cybersecurity Solution?Cloud Computing Services,3-5 years,"Financial risk (budget overspending, funding issues)?Operational risk (ine efficiency of process, poor management)?Strategic risk (market competition, project failure)?Technical risk (system failure, network security threat)",Occasionally (2-5 times a year),"Financial risks, operational risks",Almost always,Scope spread/change of customer demand?Inefficient resource allocation?Unexpected technical problems?Inaccurate time estimates,Regular review and adjustment of schedules,Apply for more resources or time,"If it's affordable and easy to use, maybe",Cost forecasting and assisting budget work?Schedule forecasting based on project progress?Automatic alerts for potential overspending?Smart suggestions for timetables/cost adjustment?Integration with project management tools,Very serious,serious,serious,serious,Very not serious,Significant impact,satisfy,Significant impact,No impact,"Financial risks (such as budget overspending, cash flow issues, funding issues)?Operational risks (such as inefficiency, project delays, poor resource management)?Strategic risks (such as market competition, failure to adapt to trends, decision-making errors)",Manual assessment of management,Emergency fund reserves?No formal risk management system,invalid,Inadequate cognition,no,"If it proves valid, maybe",Automatic risk detection ?Predicted risk ?Risk classification and prioritization ?Integration with existing business tools,yes
12,2025/6/13 15:30:33,145 seconds,WeChat,,115.171.61.109 (Beijing-Beijing),12,"Beijing Zidong Jiajing Technology Co., Ltd.",Small (1-50 employees),Web page development?Mobile application development?Artificial intelligence/machine learning solutions?Cloud computing services,More than 5 years,"Technical risks (system failures, network security threats)",Very rarely (once a year or less),No,rare,Underestimate project costs,Strict budget and financial tracking,Try adjusting the range or function,"Yes, of course",Cost forecasting and assisting in budgeting efforts,generally,generally,generally,generally,generally,generally,generally,generally,generally,"Financial risks (such as budget overspending, cash flow issues, funding issues)?Operational risks (such as inefficiency, project delays, poor resource management)?Strategic risks (such as market competition, failure to adapt to trends, decision-making errors)",Data-driven analysis,Regular risk audit ?Employee risk management training ?No formal risk management system,generally,No,yes,"Yes, we are interested",Predicting risks,yes
13,2025/6/13 15:31:12,91 seconds,WeChat,,42.100.7.183 (Heilongjiang-Harbin),4,(null),Small (1-50 employees),Web development,Less than 1 year,"Financial risks (budget overspending, funding issues)?Technical risks (system failures, network security threats)",Occasionally (2-5 times a year),No,rare,Inefficient resource allocation,Agile or iterative development method,Apply for more resources or time,"Yes, of course",Cost forecasting and assisting in budgeting efforts,Nothing serious,Very not serious,Nothing serious,Nothing serious,Nothing serious,No impact,No impact,No impact,No impact,"Operational risks (e.g. inefficient, project delays, poor resource management)?Technical risks (e.g. cybersecurity threats, system failures, software vulnerabilities)?HR risks (e.g. employee turnover, skills shortages, workplace conflicts)",Data-driven analysis,Employee Risk Management Training ?Cybersecurity Policy and Firewall,More effective,No,yes,"Yes, we are interested",Automatic risk detection?Risk classification and prioritization,yes
14,2025/6/13 15:31:13,126 seconds,WeChat,,144.123.35.123 (Shandong-Qingdao),12,(null),Large (more than 200 employees),Mobile Application Development?Artificial Intelligence/Machine Learning Solutions,More than 5 years,"Strategic risk (market competition, project failure)?Technical risk (system failure, cybersecurity threat)?Compliance risk (legal and regulatory issues)",Regular (more than 5 times a year),Economic risks,Almost always,Inefficient resource allocation?Unexpected technical problems?Inaccurate time estimate,Regular review and adjustment of schedules?Agile or iterative development methodology?Customer engagement and feedback loop,Improve internal coordination,"If it's affordable and easy to use, maybe",Automatic alerts for potential overspending?Smart recommendations for timetable/cost adjustment,serious,serious,serious,serious,serious,generally,generally,generally,generally,"Compliance risks (e.g., illegal acts, regulatory fines, data protection issues)?HR risks (e.g., employee turnover, skills shortage, workplace conflict)?Customer and contract risks (e.g., contract disputes, changes in customer needs, refusals)",No formal risk assessment process,Regular risk audit ?Employee risk management training ?Emergency fund reserves,generally,Human resources,no,"Yes, we are interested",Predicting risks? Chatbots with real-time support,yes
15,2025/6/13 15:31:55,190 seconds,WeChat,,183.241.13.110 (Beijing-Beijing),8,(null),Small (1-50 employees),Web page development?Mobile application development,More than 5 years,"Financial risk (budget overspending, funding issues)?Operational risk (ine efficiency of process, poor management)?Strategic risk (market competition, project failure)",Very rarely (once a year or less),Strategic risk,rare,Scope spread/change of customer demand?Unest project cost,"Strict budget and financial tracking ?Use project management tools (e.g. Jira, Trello) ?Review and adjust schedules regularly",Apply for more resources or time,uncertain,Cost forecasting and assisting budget work?Schedule forecasting based on project progress?Automatic alerts for potential overspending?Smart suggestions for timetables/cost adjustment?Integration with project management tools,Very not serious,Very not serious,Very not serious,Very not serious,Very not serious,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,"Financial risks (such as budget overspending, cash flow issues, funding issues)?Operational risks (such as inefficiency, project delays, poor resource management)?Strategic risks (such as market competition, failure to adapt to trends, decision-making errors)",Manual assessment of management,Regular risk audit ?Employee risk management training,generally,Inefficient,no,"Yes, we are interested",Automatic risk detection?Predicting risk,yes
16,2025/6/13 15:35:08,100 seconds,WeChat,,123.121.186.213 (Beijing-Beijing),7,(null),Small (1-50 employees),Web page development?Mobile application development?Cloud computing service,1-3 years,"Operational risks (ine efficiency of process, poor management)",Very rarely (once a year or less),none,rare,Scope spread/change customer demand,"Use project management tools (e.g. Jira, Trello)",Improve internal coordination,"Yes, of course",Cost forecasting and assisting in budgeting efforts,Nothing serious,generally,Nothing serious,Nothing serious,Nothing serious,Dissatisfied,No impact,Dissatisfied,Dissatisfied,"Operational risks (such as inefficiency, project delays, poor resource management)?Strategic risks (such as market competition, failure to adapt to trends, decision-making errors)?Customer and contract risks (such as contract disputes, changes in customer needs, refusal to pay)",Manual assessment of management,Regular risk audit ?Employee risk management training,More effective,none,yes,"If it proves valid, maybe",Predicting risks? Chatbots with real-time support,yes
17,2025/6/13 15:55:04,368 seconds,WeChat,,106.37.113.143 (Beijing-Beijing),12,(null),Small (1-50 employees),Mobile application development,More than 5 years,"Strategic risk (market competition, project failure)",Very rarely (once a year or less),Increased labor costs,Occasionally,Scope spread/change customer demand,Regular review and adjustment of schedules ?Customer engagement and feedback loop,Apply for more resources or time,"If it's affordable and easy to use, maybe",Cost forecasting and assisting budget work?Schedule forecasting based on project progress?Automatic alerts for potential overspending?Smart recommendations for timetables/cost adjustments,serious,serious,generally,generally,generally,generally,generally,generally,generally,"Financial risks (such as budget overspending, cash flow issues, funding issues)?Operational risks (such as inefficiency, project delays, poor resource management)?Strategic risks (such as market competition, failure to adapt to trends, decision-making errors)",Manual assessment of management,Regular risk audits,generally,Insufficient experience,no,"Yes, we are interested",Automatic risk detection?prediction?risk classification and prioritization,no
18,2025/6/13 16:01:12,656 seconds,WeChat,,223.104.38.8 (Beijing-Beijing),17,(null),Small (1-50 employees),Mobile Application Development?Artificial Intelligence/Machine Learning Solutions,1-3 years,"Financial risk (budget overspending, funding issues)?Operational risk (ine efficiency of process, poor management)",Occasionally (2-5 times a year),Customers delay payment,Occasionally,Scope spread/change of customer demand?Unest project cost,Strict budgeting and financial tracking ?Regular review and adjustment schedule ?Agile or iterative development methodology,Improve internal coordination,"Yes, of course",Cost forecasting and assisting budget work?Schedule forecasting based on project progress?Automatic alerts for potential overspending?Smart suggestions for timetables/cost adjustment?Integration with project management tools,Very serious,serious,serious,serious,Very serious,Significant impact,satisfy,satisfy,satisfy,"Financial risks (e.g. budget overspending, cash flow issues, funding issues) ?Technical risks (e.g. cybersecurity threats, system failures, software vulnerabilities) ? Human resources risks (e.g. employee churn, skills shortages, workplace conflicts) ? Customer and contract risks (e.g. contract disputes, changes in customer demand, denial of payment) ?Supply chain risks (e.g. supplier default, third-party service delay)",Manual assessment of management,Regular risk audit ?Employee risk management training ?Emergency fund reserves,generally,Finance and operations,no,"Yes, we are interested",Automatic risk detection?prediction?risk classification and prioritization,yes
19,2025/6/27 15:49:20,292 seconds,Link,Direct access,120.244.220.27 (Beijing-Beijing),6,(null),Small (1-50 employees),Web Development?Artificial Intelligence/Machine Learning Solutions,1-3 years,"Strategic risk (market competition, project failure)",Very rarely (once a year or less),Project loss,rare,Scope spread/change of customer demand?Unexpected technical problems,"Use project management tools (e.g. Jira, Trello)?Review and adjust schedules regularly",Improve internal coordination,uncertain,Cost forecasting and assisting in budgeting efforts,generally,generally,generally,generally,generally,No impact,No impact,generally,No impact,"Strategic risks (such as market competition, failure to adapt to trends, decision-making errors) ?Technical risks (such as cybersecurity threats, system failures, software vulnerabilities) ?Customer and contract risks (such as contract disputes, changes in customer needs, refusal to pay)",Data-driven analysis,Regular risk audits?Cybersecurity policies and firewalls,Very effective,Too much personnel flow,yes,"If it proves valid, maybe",Automatic risk detection,yes
20,2025/6/27 15:53:28,181 seconds,Link,Direct access,120.244.220.27 (Beijing-Beijing),12,(null),Medium size (51-200 employees),Web development?Game development,3-5 years,"Financial risk (budget overspending, funding issues)?Operational risk (ine efficiency of process, poor management)?Strategic risk (market competition, project failure)",Occasionally (2-5 times a year),Shortage of technicians,Occasionally,Resource allocation inefficiency?Time estimates are inaccurate,Regular review and adjustment of schedules ?Customer engagement and feedback loop,Try adjusting the range or function,"If it's affordable and easy to use, maybe",Timetable prediction based on project progress,Nothing serious,Nothing serious,Nothing serious,Nothing serious,Nothing serious,generally,generally,generally,generally,"Operational risks (such as inefficiency, project delays, poor resource management)?Strategic risks (such as market competition, failure to adapt to trends, decision-making errors)?Technical risks (such as cybersecurity threats, system failures, software vulnerabilities)",Data-driven analysis,Regular risk audits?Emergency fund reserves?Cybersecurity policies and firewalls,generally,Stability of technicians,yes,"Yes, we are interested",Automatic risk detection ?Integrate with existing business tools,yes
